key_resp_welcome_started,key_resp_welcome_keys,key_resp_welcome_rt,key_resp_welcome_duration,prolific_pid,path_id,date,expName,psychopyVersion,OS,frameRate,key_resp_instruction1_started,key_resp_instruction1_keys,key_resp_instruction1_rt,key_resp_instruction1_duration,key_resp_instruction2_started,key_resp_instruction2_keys,key_resp_instruction2_rt,key_resp_instruction2_duration,key_resp_instruction3_started,key_resp_instruction3_keys,key_resp_instruction3_rt,key_resp_instruction3_duration,key_resp_instruction4_started,key_resp_instruction4_keys,key_resp_instruction4_rt,key_resp_instruction4_duration,practiceCondition,practice_reward_seqs,practice_trial_started,practice_trial_num,practice_resp_rt,practice_keypress_time,practice_resp_keys,prac_presentationInterval,"practice_reward_seq: 2,1,3",reward_img,cumulative_reward,trial_reward,practice_trials.thisRepN,practice_trials.thisTrialN,practice_trials.thisN,practice_trials.thisIndex,practice_trials.ran,"practice_reward_seq: 2,3,1",block_break_started,"practice_reward_seq: 1,3,2","practice_reward_seq: 3,1,2"
0.0005,space,1.4803,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,1.505,space,0.8874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,2.4049,space,0.3383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,2.7561,space,0.2779,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,144.6791,space,12.3977,,,,,,,,,,,,,,,,,,,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,"[9,15]","[[2,1,3],[2,3,1]]",157.2027,0,4.3721,161.6127,left,1.5,,stimuli/card_0_transparent.png,0,0,0,0,0,0,1,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,163.4109,1,0.9397,164.3739,up,1.5,,stimuli/card_0_transparent.png,0,0,1,0,1,0,1,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,166.1755,2,1.0707,167.2609,up,1.5,,stimuli/card_10_transparent.png,10,10,2,0,2,0,1,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,169.0606,3,0.5261,169.5937,up,1,,stimuli/card_100_transparent.png,110,100,3,0,3,0,1,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,170.8935,4,0.5651,171.4767,up,1.5,,stimuli/card_100_transparent.png,210,100,4,0,4,0,1,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,173.2752,5,0.5336,173.8252,right,0.5,,stimuli/card_0_transparent.png,210,0,5,0,5,0,1,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,174.6214,6,0.6011,175.2372,right,1.5,,stimuli/card_100_transparent.png,310,100,6,0,6,0,1,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,177.0373,7,0.61,177.654,up,0.5,,stimuli/card_100_transparent.png,410,100,7,0,7,0,1,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,178.4539,8,0.5268,179.0034,up,0.5,,stimuli/card_100_transparent.png,510,100,8,0,8,0,1,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,179.8024,9,,,,0.5,,,,,9,0,9,0,1,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,185.3109,10,,,,0.5,,,,,10,0,10,0,1,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,190.821,11,,,,0.5,,,,,11,0,11,0,1,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,196.3374,12,,,,1.5,,,,,12,0,12,0,1,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,201.8527,13,,,,1,,,,,13,0,13,0,1,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,207.3664,14,,,,1.5,,,,,14,0,14,0,1,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,"[6,15]","[[1,3,2],[3,1,2]]",217.8838,0,,,,1.5,,,,,0,0,0,0,1,,212.8829,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,223.3992,1,,,,1,,,,,1,0,1,0,1,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,228.9117,2,,,,0.5,,,,,2,0,2,0,1,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,234.4266,3,,,,0.5,,,,,3,0,3,0,1,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,239.942,4,2.4643,242.4235,up,1.5,,stimuli/card_0_transparent.png,0,0,4,0,4,0,1,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,244.2246,5,0.5281,244.7577,up,1.5,,stimuli/card_0_transparent.png,0,0,5,0,5,0,1,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,246.5569,6,0.5675,247.1398,up,1,,stimuli/card_100_transparent.png,100,100,6,0,6,0,1,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,248.4399,7,0.5778,249.0401,up,1,,stimuli/card_100_transparent.png,200,100,7,0,7,0,1,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,250.3393,8,0.4815,250.8399,up,1,,stimuli/card_100_transparent.png,300,100,8,0,8,0,1,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,252.1377,9,0.5714,252.7215,up,1.5,,stimuli/card_100_transparent.png,400,100,9,0,9,0,1,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,254.5202,10,0.6517,255.1879,up,1,,stimuli/card_100_transparent.png,500,100,10,0,10,0,1,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,256.4828,11,0.66,257.1532,up,1,,stimuli/card_100_transparent.png,600,100,11,0,11,0,1,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,258.4546,12,0.5091,258.9887,up,1.5,,stimuli/card_100_transparent.png,700,100,12,0,12,0,1,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,260.7849,13,0.5184,261.3309,up,1.5,,stimuli/card_100_transparent.png,800,100,13,0,13,0,1,,,,
,,,,emberTestThu3,B,2024-08-15_14h57.16.706,Slot Machine Game,2023.1.3,MacIntel,59.52380952,,,,,,,,,,,,,,,,,,,263.1354,14,0.5465,263.6972,up,1,,stimuli/card_100_transparent.png,900,100,14,0,14,0,1,,,,
